Country Name;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;
Chile;8555.97764056038;8726.99729563939;8909.86152331755;9233.42162195495;9748.00509201516;10210.0603173382;10714.0290109207;11147.9935659382;11447.1327755837;11199.8801728166;11732.7299935365;12339.2610911453;12973.2383185152;13271.914845766;13367.2282704542;13495.0106099649;
China;2193.8929912059;2359.56821727539;2557.88709386907;2797.17171830387;3061.82776434297;3390.7101702354;3800.75908240911;4319.02376854822;4711.63512676117;5128.89506825024;5647.05875239019;6152.68600485336;6591.65085082332;7056.41062734444;7532.77199570517;8016.43143498003;
Cote d'Ivoire;1847.86996963297;1765.32806149501;1679.40653680558;1566.57717887024;1583.11203909213;1565.42848805791;1575.14284807584;1557.9082941826;1596.25523704958;1616.3781918128;1687.21651909328;1558.96869730952;1637.39280416786;1769.21486904142;1887.16489004097;1972.54568305836;
Cameroon;1106.653951218;1124.43231363943;1143.98535454014;1174.54053128931;1223.93422880138;1217.75695269128;1230.13921210826;1248.66259859339;1249.3751861164;1246.80741869516;1248.18046202444;1255.4772399485;1278.16438392947;1306.02747811535;1343.92845524395;1382.5097900241;
Colombia;3961.92972271246;3965.7640584038;4003.46582038907;4099.30637640039;4257.16268555889;4402.89908197619;4638.47190524506;4890.27760745772;4991.78921219765;4992.82317379769;5162.70563649161;5468.19553964577;5631.21736993297;5866.87378750721;6069.18678345804;6175.87602970258;
Comoros;1189.71896400957;1187.8264148663;1186.44822134568;1182.88433440733;1177.2964285644;1182.20808547938;1184.82649828143;1166.01823127984;1183.46679787947;1192.73943877251;1208.28448860234;1228.28456209085;1236.9389438068;1261.43314271012;1257.6825105024;1242.58560784999;
Cabo Verde;1974.08884889297;1983.29755839124;2053.25366970692;2105.86656661872;2286.58344048893;2410.77381182592;2569.19219550195;2922.23307196269;3079.12051292296;3003.64124549452;3010.72217810924;3091.22295968491;3085.19174555425;3070.46369962488;3050.27234617825;3043.03138156811;
Costa Rica;7678.49155058848;7805.3119278765;7940.43018003299;8157.6511528959;8395.40107016185;8606.33369946188;9109.5303051731;9725.38491959264;10052.6828954576;9837.87658446285;10236.9803171996;10559.2059597167;10945.0350113856;11090.0884365903;11355.3310981651;11642.7780517123;
Caribbean small states;8167.44012059426;8275.79789357525;8513.89109892004;8929.32332922788;9218.3120380853;9488.32073475296;10067.706697926;10333.1054446425;10398.4858562941;9963.7860650161;10029.6731565328;10071.4687294015;10138.0092160464;10142.2788755037;10139.9499059378;10181.8061569933;
Cuba;4105.8794871872;4222.13713348563;4268.91705587996;4419.17755670693;4665.38656904123;5182.81969599319;5808.34956537117;6235.76589977118;6500.65260135736;6601.02638947254;6759.34279884097;6942.05769695221;7138.36817279144;7317.85399615708;7378.69626373225;7694.01463710941;
Curacao;21523.6458969619;22171.0657127014;22231.8794514249;21840.8910509073;21512.1115110789;21112.3220224258;20913.6630525554;21011.1568861109;21202.4306538006;20952.8997314223;20706.4372111803;20539.3600816526;20356.1817978162;19963.3453386464;19459.4943775806;19260.269845345;
Cayman Islands;;;;;;;91341.2941052367;91434.5366678909;88476.1416407277;79899.964708182;75877.1675010203;75165.9869769287;74688.8864037566;74420.119191193;75246.8261541483;76284.1942951101;
Cyprus;22382.396484375;23017.63671875;23602.53125;23929.099609375;24797.919921875;25629.583984375;26393.677734375;27154.900390625;27447.240234375;26181.744140625;26019.763671875;25466.107421875;24216.529296875;22682.265625;22513.779296875;23408.3359375;
Czechia;12312.497769842;12734.9220286548;12959.8174813078;13428.099616179;14070.2804589818;14978.4131869153;15948.7452897204;16739.1787158121;17046.8850268926;16160.6205565942;16505.9537034372;16761.8273125123;16606.9925391504;16593.8642307285;16951.3791150445;17829.6983223668;
Germany;34490.0757688619;35011.068457503;34883.0580735445;34619.6640670185;35034.0806086181;35310.4704669272;36699.446781036;37842.3577913563;38278.3130082531;36190.3928860698;37760.9136283996;39977.3417095357;40069.3539560742;40135.0158319837;40851.1617304855;41103.2564363768;
Djibouti;;;;;;;;;;;;;;2384.2352836688;2508.82719853675;2652.51322808034;
Dominica;6134.42999375724;6128.66564462631;5940.93619967823;6294.75766838731;6460.52593207382;6485.116002282;6774.04229772849;7196.35619459063;7705.33010941587;7613.16704438404;7661.2398724785;7640.34021696806;7554.95432149417;7472.56374895618;7819.86559868884;7597.28889409255;
Denmark;49241.9280041345;49469.6888088275;49541.8555503286;49599.9969640753;50792.00095345;51835.8327062445;53687.4415474978;53935.8702479631;53345.3576182976;50457.2324892863;51173.4661587111;51644.4635097775;51567.0401502519;51831.7979309232;52404.7639713382;53254.8563700916;
Dominican Republic;4209.4118675025;4249.10008088291;4375.78983242711;4255.76620917535;4304.77008068419;4647.03787497264;5006.55237736346;5308.63239429042;5409.9479486405;5393.47028722925;5771.91841782829;5881.13542061702;5969.35276149503;6187.28301361997;6547.30797742962;6921.52059432776;
Algeria;3111.17616898069;3162.81150705065;3297.61281111481;3490.22324716767;3592.64530105789;3752.09616063379;3760.15536841842;3828.1484762911;3856.40765950165;3851.21377724014;3918.48641960904;3956.8958150634;4012.36150560736;4042.92363833722;4112.0760239586;4177.8895415169;
Finland;37884.3913209153;38784.7725522584;39351.3903956183;40044.3048555829;41522.1750841224;42530.6196771877;44074.0309204141;46212.6409741216;46358.6204112971;42412.0978494183;43563.5721974365;44466.8176978572;43637.2486713657;43044.9971201474;42710.9212889729;42801.9081167285;
Fiji;4106.96633107904;4174.11815791598;4300.64125556181;4339.27779451568;4559.28144308105;4570.28585268046;4619.73400523516;4534.88283455346;4532.01322307096;4425.84800151093;4523.86624071202;4626.68330129154;4683.22625879714;4901.89755440264;5171.52764876645;5390.71420703085;
France;33597.3662427446;34015.3809173194;34152.3658925504;34190.3029345668;34899.8763766384;35213.893088874;35825.7485784696;36468.0978775182;36357.3225084709;35131.4491385136;35639.8040642823;36245.5427948625;36183.4879863585;36205.1678224014;36378.6186614699;36652.9223052178;
Faroe Islands;;;;;;;;;;;;;;;;53310.2620055228;
Gabon;7888.06209100779;7866.61354514162;7662.45530652272;7646.87769446296;7507.13140969884;7504.25995868094;7091.72004198845;7301.22884242197;6845.94458788966;6634.71867702502;6863.53876370988;7086.38778211358;7181.21372045023;7304.77966378694;7350.05129816345;7384.70070393071;
United Kingdom;39229.2684645729;39888.499257412;40563.337319998;41598.211744861;42336.5541810782;43137.2551546647;43927.8860195651;44576.3676643203;44120.9295397417;41928.6098473613;42487.9254102784;42771.6411209323;43099.5973494837;43621.0592250195;44596.1897498767;45404.5677734722;
Georgia;1566.56025711526;1667.5080065233;1774.63644246672;1984.24433117813;2112.26131913728;2329.57085416614;2563.5430910194;2901.10409419212;2980.30953519967;2897.1308766973;3100.7234268396;3356.99786834394;3597.20376380055;3738.70504043075;3902.56879865773;4014.18594419329;
Ghana;1040.63409900461;1056.07090420148;1076.91520129623;1105.40136941722;1138.65837035507;1175.86165977919;1219.56212509262;1240.16196738877;1319.17358896451;1348.34140336651;1419.12030179234;1579.6995927154;1686.06954432207;1767.80206994993;1777.09670654526;1774.07477092508;
Gibraltar;;;;;;;;;;;;;;;;;
Guinea;628.155097119358;637.493198330762;657.221781178507;652.730667697803;655.08547920952;661.10250319426;654.747688171247;683.900116111828;696.031321103174;672.630728346572;689.256688654773;711.990871580973;737.713052209307;749.870076465839;759.587862412066;769.255475432822;
Guinea-Bissau;577.485664855301;577.718826276869;559.556208080347;550.089425676073;552.284766541778;562.384855924713;561.735047825795;566.107362921541;569.952835515209;574.470804651114;585.691608965249;616.683542445337;590.266056354685;593.481442575988;583.566126204989;603.399381547733;
Equatorial Guinea;4454.03816427734;6983.43904634822;8003.96175127512;8745.26908357059;11558.6753842466;12908.0638248536;13282.9424971336;14619.7505640976;16438.6414184634;15906.4965365837;13841.3964297338;14098.6463738662;14614.176931747;13421.565711838;12926.5335416735;11283.3980158847;
Greece;18642.8828810169;19312.4704863527;19996.6385225004;21104.9242896354;22118.2517071541;22185.6168144417;23369.3529983481;24073.0004963747;23928.7093856987;22839.4465265038;21560.3533533658;19400.8077326583;18123.6710971914;17796.2576680722;18000.4184639065;18083.8779056547;
Grenada;6976.7167771042;6808.70049404139;7015.96270583123;7652.85096647434;7578.30943220369;8558.82871898243;8194.95080405063;8676.50745128638;8735.9640139235;8132.78073270083;8057.68650847271;8076.82315029577;7934.04142148447;8066.55268288959;8601.08101535152;9096.53865246322;
Greenland;31614.6517251413;31930.6286478313;31475.8540001692;32779.9156168261;34953.9857327976;36681.843754409;38829.5768138818;39896.9168745397;42527.7110946122;42899.7888333474;43198.0773094712;42994.9238212176;43655.7458877164;43338.4290158317;45545.1903286408;44536.4013080999;
Guatemala;3195.39433981893;3192.30860737942;3239.56717751628;3250.84112590453;3282.32107223521;3320.16407089873;3427.67826697726;3573.59963564153;3620.83046484901;3570.30283821497;3606.4305491335;3688.86616443424;3731.67578420097;3802.15380202902;3903.05961459334;3994.63691288475;
Guam;;;30543.8238259879;30704.953260077;32622.1336880318;33743.741405003;32461.448494029;32653.3078657691;33278.0733411376;33383.1268615286;34094.348815539;34067.1937684541;34728.8937132729;35222.3885175896;35722.1143432164;35829.2503598989;
Guyana;3850.8177831636;3946.58930252403;3993.52412055163;3966.39613509827;4025.19073576022;3944.44474455638;4145.7847928103;4443.0726185811;4512.38526015158;4681.6482762378;4847.43147965576;5088.60704456262;5338.7126839522;5505.38999238605;5568.21821243899;5576.82585151355;
High income;33533.7122512917;33816.3373568546;34137.952440572;34683.2793895953;35640.6574566875;36437.8386254404;37309.7127655478;38078.847685391;37983.6072698241;36495.1782552081;37354.8322333451;37907.4391107289;38221.5704994488;38578.1652391727;39147.568101124;39847.261775534;
Honduras;1790.36408270289;1790.79752352887;1810.4737219879;1845.63709977369;1913.11177184576;1980.98605774699;2062.60360720304;2141.37517135877;2183.76566138828;2086.27129507145;2120.74288955211;2159.71078839121;2207.23021432074;2228.1467474572;2256.01505600799;2302.20441093316;
Heavily indebted poor countries (HIPC);733.07010470589;741.827499229546;746.501892162515;754.56438370075;774.622235094231;795.263647450922;819.158086893505;840.468080670821;862.608726230718;866.097340110309;892.25629142258;901.646505397488;899.439759067581;922.976160030204;949.090895065914;965.769550101731;
Croatia;8805.50039515219;9428.4107203318;9962.04486657184;10509.549672237;10942.572413249;11399.7753370191;11959.9232084277;12550.2339482454;12789.6357975779;11870.7940008389;11748.9448312757;11779.5299874137;11546.7017379524;11536.8601564677;11543.87627967;11933.3773788281;
Haiti;1315.9438958474;1289.34355622001;1281.27405702912;1304.12834146702;1266.03483770769;1283.89714590637;1285.7033993888;1324.87068061406;1338.76343466117;1395.70550225541;1296.80566638569;1342.54364163862;1329.46575425435;1366.99264516491;1370.98689397902;1386.85419078846;
Hungary;8970.51123390017;9357.41744068423;9829.02746325056;10259.8419366735;10796.761861554;11282.929911669;11746.6312097236;11797.4289746965;11937.0491125837;11167.0294477602;11313.5228856662;11556.6726411743;11470.4034255769;11709.801434339;12237.3116672445;12720.7120220668;
IBRD only;2722.44214109615;2789.48052680461;2886.05474990818;3026.06136413775;3224.21690169356;3421.09267730964;3666.56648227161;3956.55205977285;4149.86439317615;4227.41886851822;4514.51640927773;4754.35093853675;4962.28666991582;5170.32816742014;5363.81773998722;5547.67960198438;
IDA & IBRD total;2335.61112025242;2388.04284464052;2465.31619295802;2575.41459280559;2733.98456493487;2889.90500933128;3082.8537280928;3309.31302307681;3457.97019450608;3517.11462688585;3739.69268470941;3919.44072345065;4071.26145368486;4229.66411795157;4377.25944577021;4509.58986774247;
IDA total;904.841569176335;922.274238020107;948.981468048341;972.199224796644;1012.5299694305;1048.83801275161;1086.17808918421;1124.58609077666;1153.39783355678;1182.04811752808;1226.30493623152;1245.63744093543;1251.74595171496;1288.25128551856;1329.57627178655;1342.99940360811;
IDA blend;1263.2344540286;1287.38793012539;1346.56833613501;1382.86345151438;1452.68582253218;1503.76442902097;1554.01413054866;1605.25635411;1631.59418244126;1687.03971690908;1746.84665676945;1784.89592458777;1823.36600240007;1879.93211849167;1944.07134407627;1972.14715286671;
Indonesia;1867.54879635774;1909.29186789858;1968.30112833041;2034.76146206165;2108.64179486102;2199.09391371933;2289.4220118994;2402.6675422689;2513.67159183009;2595.29875925407;2720.19162246855;2849.35498540064;2980.61011028002;3104.3479997837;3217.31746802671;3331.69511469189;
