"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","15685.4677425371","18445.0562166194","22159.3017632681","24863.067052235","25382.6193521617","26355.9612883051","26427.1629146391","26693.9204107072","27298.5554928803","26732.6235582529","26111.131259623","27218.7609575312","27178.8908088717","26980.8906701794","28442.5161176415","28989.585239076","28077.193146051","27799.5773504401","29301.7635520673","28814.2916289988","28910.6606831485","29689.3415636977","30193.1098141602","26641.8165601643","25859.5109233755","26629.2995319992","26221.2595482801","27744.9320971106","27575.9302927003","28399.0501310163","28854.7132993572","30293.3515385045","30536.6671931455","29769.2939070971","23026.3328659732","",
"Africa Eastern and Southern","AFE","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","1175.73528547344","1149.36056189587","1209.93045143798","1240.08820380089","1263.61010908331","1296.49055171917","1312.08504363903","1344.75521267186","1361.71423362134","1395.04435605079","1420.76939131094","1455.6812336759","1445.37267020505","1466.8758728249","1509.09838488693","1491.3640264733","1489.848607152","1464.8119979573","1437.31828728243","1434.85152783709","1468.92096062617","1488.3234508865","1452.80996527391","1413.11550997579","1413.53075792417","1366.39523060903","1356.95750804546","1373.17963307298","1386.65449646649","1385.86300671114","1346.10043990838","1309.90937322192","1248.62353458948","1209.95186642603","1201.4085171198","1219.89383163699","1252.71947308005","1274.45647293917","1264.85528836602","1265.14516022764","1274.25037842186","1287.2157796866","1303.19369161608","1308.92066728397","1345.42330806898","1390.645360518","1443.04396658228","1497.85678084754","1521.5295861783","1492.30355765502","1527.2296540113","1540.96642220751","1513.36972804907","1534.55767498584","1552.9870307622","1556.31646949666","1548.81307580209","1546.79557128482","1544.07797470558","1534.89014669817","1452.73025053824","1477.24926579268",
"Afghanistan","AFG","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","319.847107262897","332.22000973489","322.668009493498","345.925813841934","353.72059702447","392.71046559534","398.971116543866","472.842291632566","526.103675610541","511.998514848414","557.94969211234","568.964543504121","565.179273313985","556.007220861443","552.996907717033","553.355051712755","546.743010078504","555.138996255113","529.741210284938","",
"Africa Western and Central","AFW","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","1087.63993058076","1085.11255225702","1102.49938221035","1157.52087874728","1193.68961219171","1214.98438621436","1167.03604061464","1032.15859858175","1023.70010430439","1155.24036899762","1330.41624793317","1439.31264955536","1448.90472526175","1472.99983717994","1583.41601300775","1509.62546442466","1596.46132481661","1627.64455207933","1549.26260400042","1586.30642282273","1574.17539390181","1425.3480332464","1340.23626645772","1218.70075129427","1192.32633613107","1224.49468209924","1208.30948106628","1192.82051570268","1217.08477831196","1211.5713630814","1256.91066684824","1237.59446649161","1237.72147769974","1191.48012489397","1156.93332508794","1148.38397117351","1169.98488312834","1187.38869480748","1196.57174725313","1181.53882361844","1193.35487895189","1222.53149540358","1308.23950616143","1344.06217212777","1413.27798912241","1455.94085131097","1492.82915111178","1532.65454248403","1584.55569404916","1638.1663279089","1704.61994547136","1739.00522138238","1779.26678551999","1837.28580824917","1894.18267773123","1894.32211518466","1846.33288661952","1839.11339500237","1843.55469505772","1852.86172846094","1788.64715722256","1810.92777448486",
"Angola","AGO","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","2653.47289479177","2448.88276184196","2363.40736815463","2376.37104207216","2430.75447869439","2428.13862463873","2411.85121394342","2423.63230015388","2484.1414224539","2401.27160940135","2241.40773819391","2189.61176409571","1995.24143435402","1468.2628287425","1440.69035763946","1604.34613585939","1764.02328295177","1832.42960270921","1857.43757608283","1837.27883483818","1832.35573048853","1847.42022876976","2031.12326080671","2022.35512747234","2167.64716794666","2406.77831667106","2589.32169816025","2845.40643012187","3048.01555561027","2962.44681598794","2994.43798150948","2987.7679069278","3128.32471511418","3168.60526780878","3207.17807366001","3127.89059784461","2945.96811568044","2845.43166970475","2717.47412052785","2612.34702748573","2390.47814465757","2331.49540206004",
"Albania","ALB","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","1740.50538249229","1804.01030684507","1818.3673437536","1799.87814510218","1740.34722580776","1735.28985772491","1798.01460877279","1748.57826220188","1691.53050586189","1808.64560434827","1606.29604693997","1163.49129356824","1086.43848680039","1197.58059375303","1305.00071868174","1488.02049135802","1633.55157205372","1464.29757891877","1603.64723014585","1821.87265372461","1960.88194602054","2143.52627790757","2247.49749129938","2380.64399709539","2522.44871361971","2675.50793615524","2851.36701218575","3044.89581910515","3298.47804428531","3432.16997279698","3577.11338784054","3678.04673786035","3736.33910071368","3780.69820205676","3855.75973394744","3952.80253807527","4090.371656678","4249.80373367726","4431.53918098494","4543.38652018643","4410.45516523171","4831.86865792215",
"Andorra","AND","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","35391.2140401924","35159.6061024393","36166.556960162","37123.4096438423","37504.8905261649","36246.8271139364","36175.4646048685","36081.8008382543","35551.8766857065","34462.6295184673","34014.6233530022","32669.5913846679","31709.4219353569","30897.0740929182","30084.6862966905","29480.4634354241","29178.658635687","29564.9383585507","29854.9187018614","30091.368715123","30051.2969889705","29642.8290863374","28792.3123885504","27517.6579921031","27408.3888582539","27641.9961064677","28701.2086026142","31325.6416920712","32416.1428657517","33625.3772084596","34267.7182201876","35975.0224122479","36158.7299207046","37620.3548315539","39043.1136996538","39783.0866339437","40602.6987052082","40392.0317462849","37610.7101953305","35362.8368798227","34667.3088781134","34956.734946798","33750.1908479352","33220.6937771502","34722.0297518806","35770.9186530024","37432.911206721","37707.8332368482","38301.4504295522","39003.5392241061","34588.0537227279","37640.1263169902",
"Arab World","ARB","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","4057.24542326542","4552.61748899935","4765.65579778814","4585.67632645358","4926.07338699077","5201.46895709423","5210.54208868743","4631.54143946574","4212.72274263931","4140.6766536665","3938.27925127564","3996.62576593939","3880.42204136784","3992.01740286592","3966.72633320239","4287.56203364858","4274.29657688072","4414.63210931855","4434.6500007671","4464.88537945581","4461.25177148595","4565.36555474446","4676.45003386325","4812.03077526057","4796.79892648145","5002.81725836949","4981.07409376124","4908.93912427664","5037.78773182298","5363.63777432308","5532.09937389515","5732.2290356713","5852.09770369402","6029.58481377932","5910.7934249778","6047.61623624235","6101.64533265167","6268.35274979207","6289.24689472758","6300.83140546903","6359.90057838383","6431.67622393103","6386.72218843248","6414.53970555211","6394.17949849594","5956.87777190232","6050.11863780357",
"United Arab Emirates","ARE","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","99453.426508984","99606.9779436266","104936.628119938","90889.7686221403","98553.2725868188","111574.268991084","108563.176599737","95337.9852097368","86108.768349884","85032.9507096786","77644.4145343261","62368.016572526","60813.4793425274","55816.1571809868","59119.7576343946","66023.6263147311","62854.072643271","61294.5452535455","58633.2886865677","59364.6946177027","60169.0551932069","60548.564229024","62264.9131097293","59297.920729307","57875.0740470826","60716.2538602996","58421.8441057183","56815.0664016007","57932.2330896639","57910.2129517232","53844.7057591121","51197.3396376052","45388.6672833264","40755.098874028","34580.2022743354","32534.807247033","33246.1300629198","33996.5281241158","35495.7540253801","36995.6899985722","38663.388255736","39400.0053477902","39798.5091267933","39670.9189612731","40438.3257070934","37497.580713635","",
"Argentina","ARG","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","7362.53406360922","7637.0666518484","7451.80339350561","6945.95712519011","7532.00447516528","8202.11254803701","8026.87623718092","8161.60211352432","8429.86888847954","9108.49687723332","9243.25657925509","9613.67688115372","9614.23793078017","9725.46704467513","10100.068478657","9939.69662329323","9591.17200094829","10103.6273664291","9505.85621016849","10321.2391038659","10318.1829852053","9630.11517768569","9407.87464079697","9660.19212976018","9655.18364934168","9009.00172876523","9412.99481324691","9517.10860969582","9269.35579059497","8477.67290305717","8149.24061859681","8769.75039972016","9338.69951701644","9974.00441871003","10423.3788791662","10003.0916892982","10430.6824927136","11146.7210336555","11445.5649384682","10935.6445948055","10730.6082172968","10146.1068184859","8943.30800223846","9629.84408600561","10389.1512740641","11192.1795786128","11970.6553871118","12919.2353647124","13310.6236843092","12398.2835807357","13551.3391940229","14200.2698890608","13895.6337072986","14071.5086831557","13567.9484159809","13789.060424772","13360.2118345982","13595.0373551081","13105.397163317","12712.9707379001","11344.4057423154","12390.8086878358",
